,rate,type,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01
Leona Valley,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Lincoln Heights,15.13,Los Angeles,,,,,,,,1.0,1.0,,1.0,1,1.0,2,2,4,5
Little Armenia,--,Los Angeles,,,,,,,,,,,,0,0.0,0,0,--,--
Little Bangladesh,27.52,Los Angeles,,,,,,,,,,,1.0,2,2.0,4,5,5,8
Little Tokyo,--,Los Angeles,,,,,,,,,,,,0,0.0,0,--,--,--
Littlerock,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Littlerock/Juniper Hills,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Littlerock/Pearblossom,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Llano,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Lomita,--,City,,,,5.0,5.0,7.0,8.0,8.0,9.0,9.0,12.0,0,,--,--,--,--
Long Beach,0,Unincorporated,5.0,5.0,8.0,12.0,12.0,13.0,15.0,17.0,21.0,28.0,41.0,0,0.0,0,0,0,0
Longwood,--,Los Angeles,,,,,,,,,,,,0,0.0,0,--,--,--
Los Angeles,39.16,City,,,,,,,,,,,,,839.0,1020,1171,1386,1580
Los Angeles County (excl. LB and Pas), ,,87.0,137.0,180.0,217.0,278.0,335.0,391.0,516.0,635.0,764.0,1166.0,1402,31.0,2038*,2365,2871*,3352
Los Feliz,65.6,Los Angeles,,,,,,,1.0,2.0,2.0,3.0,5.0,6,5.0,8,11,13,14
Lynwood,0,Unincorporated,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,6.0,8,0.0,14,16,0,0
Malibu,--,City,,,,,,,,,,,,--,,--,--,--,--
Manchester Square,--,Los Angeles,,,,,,,,,,,,--,,--,--,--,--
Mandeville Canyon,--,Los Angeles,,,,,,,,,,,,--,,--,--,--,--
Manhattan Beach,116.57,City,3.0,4.0,4.0,5.0,6.0,7.0,7.0,9.0,11.0,17.0,21.0,22,23.0,27,31,40,41
Mar Vista,42.97,Los Angeles,,1.0,1.0,1.0,3.0,4.0,5.0,6.0,6.0,6.0,8.0,8,8.0,9,13,13,18
Marina Peninsula,136.58,Los Angeles,,,,,,,,,,,,--,,--,--,--,6
Marina del Rey,54.51,Unincorporated,,,,,,,,,,,,--,,--,--,5,5
Maywood,28.44,City,,,,,,,,,,,1.0,1,2.0,4,5,6,8
Melrose,133.96,Los Angeles,2.0,9.0,10.0,11.0,11.0,12.0,17.0,19.0,26.0,33.0,47.0,49,56.0,71,82,100,104
Mid-city,86.31,Los Angeles,,,,,,,,,,,,8,8.0,9,10,11,13
Miracle Mile,0,Unincorporated,,,,,1.0,1.0,4.0,5.0,7.0,8.0,13.0,7,0.0,9,10,0,0
Mission Hills,25.03,Los Angeles,,,,,,,,,,,,--,5.0,5,6,6,6
Monrovia,--,Unincorporated,,,,,,,,,,,2.0,--,,--,--,--,--
Montebello,10.98,City,,,,,,1.0,,,,,1.0,2,3.0,4,4,5,7
Monterey Park,14.72,City,,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4,5.0,5,5,7,9
Mt. Washington,--,Los Angeles,,,,,,,,,1.0,2.0,3.0,--,,--,--,--,--
Newhall,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
North Hills,18.06,Los Angeles,,,,,,,,,,,1.0,1,2.0,6,7,9,11
North Hollywood,29.73,Los Angeles,,1.0,2.0,3.0,5.0,5.0,5.0,9.0,10.0,11.0,15.0,18,26.0,30,34,39,45
North Lancaster,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
North Whittier,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,--,--
Northeast San Gabriel,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,--
Northridge,17.71,Los Angeles,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,7,8.0,8,8,9,12
Norwalk,20.03,City,,,,,,,,,1.0,2.0,9.0,9,12.0,12,15,21,21
Pacific Palisades,111.09,Los Angeles,,,,5.0,6.0,7.0,7.0,8.0,9.0,9.0,12.0,10,11.0,15,18,22,23
Pacoima,8.76,Los Angeles,,,,,,,,,,,1.0,2,3.0,3,4,5,7
Padua Hills,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Palisades Highlands,--,Los Angeles,,,,,,,,,,,,0,0.0,--,--,--,--
Palmdale,0,Unincorporated,,,,,,,,1.0,2.0,2.0,2.0,0,0.0,0,0,0,0
Palms,59.79,Los Angeles,,,,1.0,1.0,1.0,1.0,2.0,6.0,8.0,10.0,12,15.0,20,21,25,27
Palos Verdes Estates,109.75,City,,,,,,,,,,,,12,14.0,14,14,14,15
Palos Verdes Peninsula,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Panorama City,14.47,Los Angeles,,,,,,,,,,1.0,4.0,4,4.0,6,7,7,11
Paramount,17.79,City,,,,,,,1.0,2.0,2.0,3.0,4.0,5,5.0,6,7,8,10
Park La Brea,36.81,Los Angeles,,,,3.0,4.0,4.0,4.0,6.0,8.0,8.0,8.0,--,,--,--,--,5
Pasadena, ,City,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,7.0,9.0,0,0.0,0,0,0,33
Pearblossom/Llano,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Pellissier Village,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Pico,,,,,,,,,,,1.0,2.0,5.0,,,,,,
Pico Rivera,21.86,City,,,,,,,,,1.0,1.0,2.0,2,5.0,5,6,9,14
Pico-Union,21.13,Los Angeles,,,,,,,,,,,,5,4.0,4,5,7,9
Placerita Canyon,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Playa Del Rey,--,Los Angeles,,,,,,,,,,,,--,,--,--,--,--
Playa Vista,70.11,Los Angeles,,,,1.0,1.0,2.0,2.0,3.0,4.0,5.0,8.0,5,5.0,5,5,7,7
Pomona,0,Unincorporated,,,,,,,,,,1.0,3.0,0,0.0,0,0,0,0
Porter Ranch,24.09,Los Angeles,,,,,,,,,1.0,1.0,2.0,2,3.0,6,6,8,8
Quartz Hill,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,--,--
Rancho Dominguez,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,--,--
Rancho Palos Verdes,37.29,City,,,,,,,1.0,1.0,3.0,5.0,6.0,7,8.0,8,10,13,16
Rancho Park,--,Los Angeles,,,,,,,,,,,,--,,--,--,--,--
Redondo Beach,72.13,City,,,,,1.0,2.0,4.0,5.0,7.0,9.0,20.0,23,24.0,29,34,39,50
Regent Square,--,Los Angeles,,,,,,,,,,,,0,0.0,0,0,--,--
Reseda,26.4,Los Angeles,,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,5.0,8.0,8,11.0,13,20,20,20
Reseda Ranch,--,Los Angeles,,,,,,,,,,,,--,,--,--,--,--
Reynier Village,--,Los Angeles,,,,,,,,,,,,--,,--,--,--,--
Rolling Hills,0,City,,,,,,,,,,,,0,0.0,0,0,0,0
Rolling Hills Estates,--,City,,,,,,,,,,,,--,,--,--,--,--
Roosevelt,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Rosemead,5.45,City,,,,,,,,,,,,0,1.0,2,2,2,3
Rosewood,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Rosewood/East Gardena,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Rosewood/West Rancho Dominguez,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Rowland Heights,9.83,Unincorporated,,,,,,,,,,,,1,1.0,3,3,3,5
San Clemente Island,0,Unincorporated,,,,,,,,,,,,,0.0,,,0,0
San Dimas,14.7,City,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,3,3,4,5
San Fernando,20.44,City,,,,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,0,0.0,--,--,--,5
San Francisquito Canyon/Boquet Canyon,0,Unincorporated,,,,,,,,,,,,,,,,0,0
San Francisquito Canyon/Bouquet Canyon,,Unincorporated,,,,,,,,,,,,,0.0,,,,
San Gabriel,14.88,City,,,,,,,,,1.0,1.0,3.0,5,6.0,6,6,6,6
San Jose Hills,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
San Marino,--,City,,,,,,,,,,,,--,,--,--,--,--
San Pasqual,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
San Pedro,17.99,Los Angeles,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,8,9.0,10,11,14,14
Sand Canyon,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Santa Catalina Island,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Santa Clarita,22.79,City,,2.0,2.0,3.0,4.0,4.0,4.0,7.0,7.0,10.0,16.0,24,32.0,38,41,48,50
Santa Clarita and Stevenson Ranch,,,3.0,,,,,,,,,,,,,,,,
Santa Fe Springs,--,City,,,,,,,,,,,,0,0.0,0,0,--,--
