,rate,type,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01
Altadena,32.97,Unincorporated,,1.0,,,2.0,3.0,3.0,5.0,5.0,5.0,6.0,9,10.0,10,10,12,14
Anaverde,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Angeles National Forest,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Angelino Heights,0,Los Angeles,,,,,,,,,,,,0,0.0,0,0,0,0
Arcadia,0,Unincorporated,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,0,0.0,0,0,0,0
Arleta,19.94,Los Angeles,,,,,,,,,,1.0,2.0,2,4.0,5,5,7,7
Artesia,--,City,,,,,,,,,,,,--,,--,--,--,--
Athens,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,
Athens Village,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,--,--
Athens-Westmont,31.22,Unincorporated,,,,,,,,,,,,5,7.0,7,7,11,13
Atwater Village,--,Los Angeles,,,,,,,,,,,,0,,--,--,--,--
Avalon,0,City,,,,,,,,,,,,0,0.0,0,0,0,0
Avocado Heights,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Azusa,0,Unincorporated,,,,,,,,,,,1.0,0,0.0,0,0,0,0
Azuza,,City,,,,,,,,,,,,,,2,3,,
Baldwin Hills,43.34,Los Angeles,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,5,7.0,9,9,11,13
Baldwin Park,4.03,City,,,,,,,,,,,,0,0.0,0,0,2,3
Bandini Islands,,Unincorporated,,,,,,,,,,,,,0.0,,,,
Bassett,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Bel Air,146.02,Los Angeles,,,,,,,,,,,,6,8.0,9,9,11,12
Bell,32.79,City,,,,,,,,,,,2.0,4,5.0,6,11,12,12
Bell Gardens,11.68,City,,,,,,,,,,3.0,3.0,1,1.0,1,2,4,5
Bellflower,30.24,City,,,,,,,1.0,3.0,3.0,7.0,8.0,10,12.0,14,17,20,23
Beverly Crest,177.49,Los Angeles,,,,,,,,,,,,14,17.0,18,19,20,22
Beverly Hills,112.55,City,1.0,1.0,4.0,4.0,5.0,7.0,8.0,12.0,12.0,13.0,15.0,21,21.0,24,28,35,39
Beverlywood,112.6,Los Angeles,,,,2.0,2.0,5.0,6.0,7.0,7.0,8.0,10.0,8,10.0,11,11,13,15
Bouquet Canyon,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Boyle Heights,17.19,Los Angeles,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,8,8.0,10,11,11,15
Bradbury,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Brentwood,124.73,Los Angeles,,1.0,2.0,13.0,16.0,18.0,23.0,27.0,31.0,34.0,42.0,30,31.0,33,34,36,39
Brookside,0,Los Angeles,,,,,,,,,,,,0,0.0,0,0,0,0
Burbank,37.25,City,,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,6.0,7,17.0,19,21,27,39
Cadillac-Corning,--,Los Angeles,,,,,,,,,,,,0,0.0,0,--,--,--
Calabasas,53.76,City,,,,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7,10.0,10,11,13,13
Canoga Park,15.7,Los Angeles,,,,,,,1.0,2.0,2.0,2.0,3.0,2,3.0,3,4,7,10
Canyon Country,--,Unincorporated,,,,,,,,,1.0,1.0,1.0,--,,--,--,--,--
Carson,46.94,City,1.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,8.0,9.0,21.0,21,26.0,28,35,39,44
Carthay,126.7,Los Angeles,,,,,,,,,,,,7,9.0,13,15,16,17
Castaic,10.59,Unincorporated,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3,4.0,4,3,3,3
Central,33.24,Los Angeles,,,,,,,,,,,,2,3.0,4,6,11,13
Century City,140.36,Los Angeles,,,,,4.0,4.0,4.0,4.0,6.0,7.0,9.0,6,8.0,8,9,13,17
Century Palms/Cove,32.48,Los Angeles,,,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3,5.0,8,8,10,11
Cerritos,0,Unincorporated,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,0,0.0,0,0,0,0
Charter Oak,0,Unincorporated,,,,,,,,,,,,,0.0,,,0,0
Chatsworth,49.95,Los Angeles,,,,,,,,,,,1.0,3,4.0,8,10,14,18
Cheviot Hills,86.36,Los Angeles,,,,,,,,,,,,--,,--,5,6,8
Chinatown,--,Los Angeles,,,,,,,,,,,,0,0.0,0,0,--,--
City,,,2.0,,,,,,,,,,,,,,,,
Claremont,0,Unincorporated,,,,,,,,,1.0,1.0,1.0,0,0.0,0,0,0,0
Cloverdale/Cochran,33.32,Los Angeles,,,,,,,,1.0,2.0,3.0,3.0,--,,--,--,--,5
Commerce,--,City,,,,,,,,,,,,0,0.0,0,--,--,--
Compton,18.82,City,,,,,,,,1.0,1.0,2.0,5.0,7,9.0,11,13,16,19
Country Club Park,51.93,Los Angeles,,,,,,,,,,,,--,,--,--,5,8
Covina,--,Unincorporated,,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,--,,--,--,--,--
Covina (Charter Oak),--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,--
Crenshaw District,36.35,Los Angeles,,,,,,,,,,2.0,2.0,--,,--,--,--,5
Crestview,131.05,Los Angeles,,,,1.0,1.0,4.0,5.0,6.0,7.0,7.0,9.0,7,9.0,11,13,13,15
Cudahy,--,City,,,,,,,,,,,,--,,--,--,--,--
Culver City,42.13,City,,2.0,2.0,3.0,4.0,4.0,4.0,5.0,7.0,6.0,8.0,6,7.0,9,14,15,17
Del Aire,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,--,--
Del Rey,0,Unincorporated,,,,,,2.0,2.0,2.0,3.0,5.0,9.0,0,0.0,0,0,0,0
Del Sur,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Desert View Highlands,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
Diamond Bar,10.5,City,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,3,3,3,6
Downey,32.51,City,,,,,,,,,1.0,5.0,10.0,12,18.0,19,25,31,37
Downtown,61.86,Los Angeles,,,,,1.0,1.0,1.0,2.0,3.0,6.0,7.0,8,9.0,10,11,14,15
Duarte,0,Unincorporated,,,,,,,,1.0,1.0,1.0,2.0,0,0.0,0,0,0,0
Eagle Rock,28.08,Los Angeles,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4,8.0,8,8,10,11
East Covina,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
East Hollywood,40.28,Los Angeles,,,,,,,1.0,1.0,1.0,1.0,2.0,3,5.0,6,10,13,12
East La Mirada,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,--,--
East Lancaster,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
East Los Angeles,12.6,Unincorporated,,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,6,8.0,9,11,14,16
East Pasadena,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
East Rancho Dominguez,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,--
East Whittier,--,Unincorporated,,,,,,,,,,,,--,,--,--,--,--
Echo Park,41.82,Los Angeles,,,,1.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,--,,--,5,5,6
El Camino Village,--,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,--
El Monte,0,Unincorporated,,,,,,,,,,,,0,0.0,0,0,0,0
El Segundo,--,City,,,,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,--,,--,--,--,--
